Date,Close,Predictions,Ticker
11/6/2019,1291.01001,1278.15,GOOGL
11/7/2019,1306.939941,1279.07,GOOGL
11/8/2019,1309,1293.69,GOOGL
11/11/2019,1298.280029,1293.67,GOOGL
11/12/2019,1297.209961,1285.54,GOOGL
11/13/2019,1296.180054,1285.44,GOOGL
11/14/2019,1309.150024,1283.51,GOOGL
11/15/2019,1333.540039,1296.07,GOOGL
11/18/2019,1319.839966,1317.01,GOOGL
11/19/2019,1312.589966,1303.33,GOOGL
11/20/2019,1301.859985,1300.93,GOOGL
11/21/2019,1300.140015,1289.2,GOOGL
11/22/2019,1293.670044,1288.87,GOOGL
11/25/2019,1305.640015,1281.71,GOOGL
11/26/2019,1313,1294.06,GOOGL
11/27/2019,1312.130005,1298.64,GOOGL
11/29/2019,1304.089966,1298.93,GOOGL
12/2/2019,1288.859985,1291.85,GOOGL
12/3/2019,1294.73999,1278.4,GOOGL
12/4/2019,1318.939941,1284.57,GOOGL
12/5/2019,1326.959961,1304.73,GOOGL
12/6/2019,1339.390015,1310.55,GOOGL
12/9/2019,1342.98999,1323.74,GOOGL
12/10/2019,1342.890015,1325.62,GOOGL
12/11/2019,1344.25,1326.62,GOOGL
12/12/2019,1348.48999,1327.68,GOOGL
12/13/2019,1346.869995,1331.45,GOOGL
12/16/2019,1360.699951,1329.69,GOOGL
12/17/2019,1354.890015,1343.15,GOOGL
12/18/2019,1351.910034,1335.98,GOOGL
12/19/2019,1356.439941,1336.09,GOOGL
12/20/2019,1351.219971,1339.21,GOOGL
12/23/2019,1350.630005,1334.18,GOOGL
12/24/2019,1344.430054,1334.85,GOOGL
12/26/2019,1362.469971,1328.52,GOOGL
12/27/2019,1354.640015,1345.99,GOOGL
12/30/2019,1339.709961,1335.87,GOOGL
12/31/2019,1339.390015,1325.97,GOOGL
1/2/2020,1368.680054,1325.41,GOOGL
1/3/2020,1361.52002,1350.93,GOOGL
1/6/2020,1397.810059,1341.24,GOOGL
1/7/2020,1395.109985,1378.72,GOOGL
1/8/2020,1405.040039,1369.6,GOOGL
1/9/2020,1419.790039,1384.57,GOOGL
1/10/2020,1428.959961,1394,GOOGL
1/13/2020,1440.030029,1402.72,GOOGL
1/14/2020,1430.589966,1412.54,GOOGL
1/15/2020,1439.199951,1404.01,GOOGL
1/16/2020,1450.160034,1414.05,GOOGL
1/17/2020,1479.52002,1421.16,GOOGL
1/21/2020,1482.25,1447.46,GOOGL
1/22/2020,1483.869995,1447.42,GOOGL
1/23/2020,1484.689941,1452.6,GOOGL
1/24/2020,1466.170044,1452.35,GOOGL
1/27/2020,1431.72998,1437.05,GOOGL
1/28/2020,1450.5,1409.09,GOOGL
1/29/2020,1456.699951,1427.02,GOOGL
1/30/2020,1454.25,1426.72,GOOGL
1/31/2020,1432.780029,1427.92,GOOGL
2/3/2020,1482.599976,1409.11,GOOGL
2/4/2020,1445.410034,1454.97,GOOGL
2/5/2020,1446.050049,1413.81,GOOGL
2/6/2020,1475.969971,1426.47,GOOGL
2/7/2020,1479.109985,1444.57,GOOGL
2/10/2020,1508.660034,1446.75,GOOGL
2/11/2020,1510.060059,1474.54,GOOGL
2/12/2020,1518.630005,1471.94,GOOGL
2/13/2020,1513.390015,1483.38,GOOGL
2/14/2020,1518.72998,1476.62,GOOGL
2/18/2020,1519.439941,1483.54,GOOGL
2/19/2020,1524.869995,1482.21,GOOGL
2/20/2020,1516.98999,1488.16,GOOGL
2/21/2020,1483.459961,1480.7,GOOGL
2/24/2020,1419.859985,1454.19,GOOGL
2/25/2020,1386.319946,1401.47,GOOGL
2/26/2020,1390.469971,1374.49,GOOGL
2/27/2020,1314.949951,1374.67,GOOGL
2/28/2020,1339.25,1304.18,GOOGL
3/2/2020,1386.319946,1335.53,GOOGL
3/3/2020,1337.719971,1365.74,GOOGL
3/4/2020,1381.599976,1322.51,GOOGL
3/5/2020,1314.76001,1371.33,GOOGL
3/6/2020,1295.73999,1297.29,GOOGL
3/9/2020,1215.790039,1295.04,GOOGL
3/10/2020,1275.170044,1210.45,GOOGL
3/11/2020,1210.900024,1275.94,GOOGL
3/12/2020,1111.550049,1198.27,GOOGL
3/13/2020,1214.27002,1121.38,GOOGL
3/16/2020,1073,1218.7,GOOGL
3/17/2020,1118.060059,1063.91,GOOGL
3/18/2020,1091.189941,1135.25,GOOGL
